Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49976, Requested URL, /Users/archita/Desktop/Part2/non_existent_file.txt, GET /non_existent_file.txt HTTP/1.1, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49977, Requested URL, /Users/archita/Desktop/Part2/test, POST /test HTTP/1.1, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49978, Requested URL, /Users/archita/Desktop/Part2/test, GET /test HTTP/1.0, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49979, Requested URL, /Users/archita/Desktop/Part2/.DS_Store, GET /.DS_Store HTTP/1.1, Bytes transmitted:, 6148
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49980, Requested URL, /Users/archita/Desktop/Part2/dog2.jpg, GET /dog2.jpg HTTP/1.1, Bytes transmitted:, 28522
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49981, Requested URL, /Users/archita/Desktop/Part2/dog1.jpg, GET /dog1.jpg HTTP/1.1, Bytes transmitted:, 41569
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49982, Requested URL, /Users/archita/Desktop/Part2/Example1.html, GET /Example1.html HTTP/1.1, Bytes transmitted:, 410
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49983, Requested URL, /Users/archita/Desktop/Part2/Res/test.gif, GET /Res/test.gif HTTP/1.1, Bytes transmitted:, 5108852
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49984, Requested URL, /Users/archita/Desktop/Part2/Res/loon.jpg, GET /Res/loon.jpg HTTP/1.1, Bytes transmitted:, 163321
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49985, Requested URL, /Users/archita/Desktop/Part2/Res/.DS_Store, GET /Res/.DS_Store HTTP/1.1, Bytes transmitted:, 6148
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49986, Requested URL, /Users/archita/Desktop/Part2/Res/1GB.bin, GET /Res/1GB.bin HTTP/1.1, Bytes transmitted:, 1048576000
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49987, Requested URL, /Users/archita/Desktop/Part2/Res/dog2.jpg, GET /Res/dog2.jpg HTTP/1.1, Bytes transmitted:, 28522
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49988, Requested URL, /Users/archita/Desktop/Part2/Res/test.doc, GET /Res/test.doc HTTP/1.1, Bytes transmitted:, 100352
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49989, Requested URL, /Users/archita/Desktop/Part2/Res/Example2.html, GET /Res/Example2.html HTTP/1.1, Bytes transmitted:, 640
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49990, Requested URL, /Users/archita/Desktop/Part2/Res/test.csv, GET /Res/test.csv HTTP/1.1, Bytes transmitted:, 871
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49991, Requested URL, /Users/archita/Desktop/Part2/Res/papaspancakeria.zip, GET /Res/papaspancakeria.zip HTTP/1.1, Bytes transmitted:, 6681192
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49992, Requested URL, /Users/archita/Desktop/Part2/Res/test.png, GET /Res/test.png HTTP/1.1, Bytes transmitted:, 39552
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49993, Requested URL, /Users/archita/Desktop/Part2/Res/Example1.html, GET /Res/Example1.html HTTP/1.1, Bytes transmitted:, 410
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 49994, Requested URL, /Users/archita/Desktop/Part2/Res/Readme.docx, GET /Res/Readme.docx HTTP/1.1, Bytes transmitted:, 6173
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 50010, Requested URL, /Users/archita/Desktop/Part2/Res/nonexist.txt, GET /Res/nonexist.txt HTTP/1.1, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 50019, Requested URL, /Users/archita/Desktop/Part2/Res/HelloWorld.html, GET /Res/HelloWorld.html HTTP/1.1, Bytes transmitted:, 325
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 50072, Requested URL, /Users/archita/Desktop/Part2/Res/HelloWorld.html, GET /Res/HelloWorld.html HTTP/1.1, Bytes transmitted:, 325
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 50074, Requested URL, /Users/archita/Desktop/Part2/favicon.ico, GET /favicon.ico HTTP/1.1, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 80, 127.0.0.1, 50079, Requested URL, /Users/archita/Desktop/Part2/Res/Example2.html, GET /Res/Example2.html HTTP/1.1, Bytes transmitted:, 640
Client request served, 4-Tuple:, 0.0.0.0, 1000, 127.0.0.1, 61650, Requested URL, ../filesystem/dog1.jpg, GET /dog1.jpg HTTP/1.1, Bytes transmitted:, 0
Client request served, 4-Tuple:, 0.0.0.0, 1000, 127.0.0.1, 61652, Requested URL, ../filesystem/HTMLfile_with_local_images/dog1.jpg, GET /HTMLfile_with_local_images/dog1.jpg HTTP/1.1, Bytes transmitted:, 41569
